referral_id,referrer_id,referee_id,referral_source,referral_source_category,referral_at,transaction_id,transaction_status,transaction_type,reward_value,description,is_reward_granted,is_business_logic_valid
d0c11363fa2754323ed04ddbd0681bfb,4acfa96cb521b6963b50bcef95bee485,c8c0461f1332b25809ff6ae01444d7f5,User Sign Up,Online,2024-04-30 13:54:15+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,,False
d0c11363fa2754323ed04ddbd0681bfb,4acfa96cb521b6963b50bcef95bee485,c8c0461f1332b25809ff6ae01444d7f5,User Sign Up,Online,2024-04-30 13:54:15+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,,False
d0c11363fa2754323ed04ddbd0681bfb,4acfa96cb521b6963b50bcef95bee485,c8c0461f1332b25809ff6ae01444d7f5,User Sign Up,Online,2024-04-30 13:54:15+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,,False
41b807ac2774a0a29be25266d73fcf8b,4acfa96cb521b6963b50bcef95bee485,0efd457fd172aef584656e7a56d7c1bf,Draft Transaction,Offline,2024-05-10 17:13:57+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,,False
41b807ac2774a0a29be25266d73fcf8b,4acfa96cb521b6963b50bcef95bee485,0efd457fd172aef584656e7a56d7c1bf,Draft Transaction,Offline,2024-05-10 17:13:57+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,,False
41b807ac2774a0a29be25266d73fcf8b,4acfa96cb521b6963b50bcef95bee485,0efd457fd172aef584656e7a56d7c1bf,Draft Transaction,Offline,2024-05-10 17:13:57+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,,False
41b807ac2774a0a29be25266d73fcf8b,4acfa96cb521b6963b50bcef95bee485,0efd457fd172aef584656e7a56d7c1bf,Draft Transaction,Offline,2024-05-10 17:13:57+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,,False
41b807ac2774a0a29be25266d73fcf8b,4acfa96cb521b6963b50bcef95bee485,0efd457fd172aef584656e7a56d7c1bf,Draft Transaction,Offline,2024-05-10 17:13:57+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,,False
41b807ac2774a0a29be25266d73fcf8b,4acfa96cb521b6963b50bcef95bee485,0efd457fd172aef584656e7a56d7c1bf,Draft Transaction,Offline,2024-05-10 17:13:57+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,,False
41b807ac2774a0a29be25266d73fcf8b,4acfa96cb521b6963b50bcef95bee485,0efd457fd172aef584656e7a56d7c1bf,Draft Transaction,Offline,2024-05-10 17:13:57+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,,False
2751eafffb38a7baf6c35f8bfb5e58e8,nan,ba4030331004896beb5549fb7d57ce14,Draft Transaction,Offline,2024-05-02 07:53:43+00:00,8623f36f36e709fbefe43defcac59583,,NEW,,,,False
2d07be15757d1ea6d85b96f4d46c4a37,cadba628952bde1670ac4c0792afc28a,bbd3c7b2448041dc5339b23878cacd79,Lead,Lead,2024-05-10 04:16:29+00:00,nan,,,,,,False
2d07be15757d1ea6d85b96f4d46c4a37,cadba628952bde1670ac4c0792afc28a,bbd3c7b2448041dc5339b23878cacd79,Lead,Lead,2024-05-10 04:16:29+00:00,nan,,,,,,False
d47843579ed8d4696b0abfbed179320f,d0a0d9ca8dc4f47226a8afd32ee2a848,109b6bf8d2664e5c4a165515aeb30a54,Draft Transaction,Offline,2024-05-22 07:24:50+00:00,518f2f962f004659394aebd7344569dc,,,,,,False
90abb7a3fab6efe0f5017b11df3c2ffc,2c71c5d66c7e12a0b3c200ba6ed3b78e,a90dcb9c1fc9c63f1e2dc7dbd79ecfd2,Lead,Lead,2024-05-06 08:02:16+00:00,nan,,,,,,False
90abb7a3fab6efe0f5017b11df3c2ffc,2c71c5d66c7e12a0b3c200ba6ed3b78e,a90dcb9c1fc9c63f1e2dc7dbd79ecfd2,Lead,Lead,2024-05-06 08:02:16+00:00,nan,,,,,,False
90abb7a3fab6efe0f5017b11df3c2ffc,2c71c5d66c7e12a0b3c200ba6ed3b78e,a90dcb9c1fc9c63f1e2dc7dbd79ecfd2,Lead,Lead,2024-05-06 08:02:16+00:00,nan,,,,,,False
90abb7a3fab6efe0f5017b11df3c2ffc,2c71c5d66c7e12a0b3c200ba6ed3b78e,a90dcb9c1fc9c63f1e2dc7dbd79ecfd2,Lead,Lead,2024-05-06 08:02:16+00:00,nan,,,,,,False
90abb7a3fab6efe0f5017b11df3c2ffc,2c71c5d66c7e12a0b3c200ba6ed3b78e,a90dcb9c1fc9c63f1e2dc7dbd79ecfd2,Lead,Lead,2024-05-06 08:02:16+00:00,nan,,,,,,False
90abb7a3fab6efe0f5017b11df3c2ffc,2c71c5d66c7e12a0b3c200ba6ed3b78e,a90dcb9c1fc9c63f1e2dc7dbd79ecfd2,Lead,Lead,2024-05-06 08:02:16+00:00,nan,,,,,,False
90abb7a3fab6efe0f5017b11df3c2ffc,2c71c5d66c7e12a0b3c200ba6ed3b78e,a90dcb9c1fc9c63f1e2dc7dbd79ecfd2,Lead,Lead,2024-05-06 08:02:16+00:00,nan,,,,,,False
90abb7a3fab6efe0f5017b11df3c2ffc,2c71c5d66c7e12a0b3c200ba6ed3b78e,a90dcb9c1fc9c63f1e2dc7dbd79ecfd2,Lead,Lead,2024-05-06 08:02:16+00:00,nan,,,,,,False
90abb7a3fab6efe0f5017b11df3c2ffc,2c71c5d66c7e12a0b3c200ba6ed3b78e,a90dcb9c1fc9c63f1e2dc7dbd79ecfd2,Lead,Lead,2024-05-06 08:02:16+00:00,nan,,,,,,False
90abb7a3fab6efe0f5017b11df3c2ffc,2c71c5d66c7e12a0b3c200ba6ed3b78e,a90dcb9c1fc9c63f1e2dc7dbd79ecfd2,Lead,Lead,2024-05-06 08:02:16+00:00,nan,,,,,,False
90abb7a3fab6efe0f5017b11df3c2ffc,2c71c5d66c7e12a0b3c200ba6ed3b78e,a90dcb9c1fc9c63f1e2dc7dbd79ecfd2,Lead,Lead,2024-05-06 08:02:16+00:00,nan,,,,,,False
90abb7a3fab6efe0f5017b11df3c2ffc,2c71c5d66c7e12a0b3c200ba6ed3b78e,a90dcb9c1fc9c63f1e2dc7dbd79ecfd2,Lead,Lead,2024-05-06 08:02:16+00:00,nan,,,,,,False
90abb7a3fab6efe0f5017b11df3c2ffc,2c71c5d66c7e12a0b3c200ba6ed3b78e,a90dcb9c1fc9c63f1e2dc7dbd79ecfd2,Lead,Lead,2024-05-06 08:02:16+00:00,nan,,,,,,False
251cb17f5a0a266d4eec7f3f478ad245,4acfa96cb521b6963b50bcef95bee485,774656feb3119be1d8d6d893429c7cc0,Lead,Lead,2024-05-13 06:38:59+00:00,nan,,,,,,False
251cb17f5a0a266d4eec7f3f478ad245,4acfa96cb521b6963b50bcef95bee485,774656feb3119be1d8d6d893429c7cc0,Lead,Lead,2024-05-13 06:38:59+00:00,nan,,,,,,False
